1,0,"Ó, prekrásna Hviezda ranná"
2,0,"Anjel Pána"
3,0,"Anjel z neba"
4,0,"Bože, ku tebe"
5,0,"Buď, Mária, pozdravená"
6,0,"Dennica už vyšla"
7,0,"Dnes Panna je pozdravená"
8,0,"Duša moja celou silou"
9,0,"Poslaný je anjel"
10,0,"Anjel Gabriel"
11,0,"Hľa, anjel Pána vznešený"
12,0,"Hľa, Panna je pozdravená"
13,0,"Moc Božia divná"
14,0,"Múdrosť a sila"
15,0,"Nes, Gabrielu"
16,0,"Oblaky z neba"
17,0,"Otec nebeský"
18,0,"Pán Boh všemohúci, Sudca náš"
19,0,"Po zlom páde"
20,0,"Príďže, náš milý Spasiteľ"
21,0,"Roste, nebesá"
22,0,"Už z neba posol schádza"
23,0,"Tys’, Panna plná milosti"
24,0,"Veselo spievajme"
25,0,"V spôsobe chleba"
26,0,"V temnosti Otcovia"
27,0,"V žiare prejasnej"
28,0,"Príde Kristus"
29,0,"Radujže sa, Panna slávna"
30,0,"Zdravas’, krásna Pani anjelská"
31,0,"Zdravas’, Mária"
32,0,"Zdravas’, zdravas’, ó, Mária"
33,0,"Zdravas’, Mária, krásna"
34,0,"Syn Boží sa nám narodil"
35,0,"Anjel Pána pastierom"
36,0,"A včera z večera"
37,0,"Buďme všetci potešení"
38,0,"Boh sa nám teraz narodil"
39,0,"Búvaj, Dieťa krásne"
40,0,"Čas radosti"
41,0,"Dieťatko sa nám dnes zrodilo"
42,0,"Aké to svetlo"
43,0,"Dnes sa Kristus narodil"
44,0,"Narodil sa Kristus Pán"
45,0,"Aký je to svit"
46,0,"Dieťatko spanilé"
47,0,"Dnes sa stalo"
48,0,"Dnešný deň sa radujme"
49,0,"Dobrá novina"
50,0,"Dobrý pastier sa narodil"
51,0,"Do hory, do lesa, valasi"
52,0,"Do mesta Betlema"
53,0,"Nesiem vám noviny"
54,0,"Hľa, zástup zboru anjelského"
55,0,"Jak veľká to milosť"
56,0,"Kde si, náš Mesiáš"
57,0,"Keď Mária plačúcemu"
58,0,"Kyrie eleison - Pána Krista"
59,0,"Kyrie eleison - Vitaj"
60,0,"Ó, divadlo krásne"
61,0,"Láska volá ma"
62,0,"Narodil sa Spasiteľ"
63,0,"Narodil sa Kristus v Betleme"
64,0,"Od nás dávno túžený"
65,0,"Pásli ovce valasi"
66,0,"Ó, chýr preblahý"
67,0,"Panna čistá"
68,0,"Pastieri, pastieri"
69,0,"Plesá Matka"
70,0,"Plesá svet"
71,0,"Plesajte, kresťania"
72,0,"Počujte radosť utešenú"
73,0,"Počúvajte, kresťania"
74,0,"Ponáhľajme, pastuškovia"
75,0,"Pospešte sem"
76,0,"Povedzte nám"
77,0,"Prišiel ten čas veselý"
78,0,"Povstaňte v rýchlosti"
79,0,"Pred tebou sa klaniame"
80,0,"Sem, pastieri, pospiechajte"
81,0,"Sem pospešte, nemeškajte"
82,0,"Sem, sem, Dieťatko"
83,0,"Vitaj, ó, Ježiško narodený"
84,0,"Spievaj a jasaj, zem celá"
85,0,"Svetlo svetu dnes nastalo"
86,0,"Spasiteľ sveta zrodil sa"
87,0,"Vec predivná, neslýchaná"
88,0,"Tichá noc"
89,0,"Už Slnko z hviezdy vyšlo"
90,0,"Tebe sa tu klaniame"
91,0,"Veselosť veľká"
92,0,"Vitaj, náš Ježiško narodený"
93,0,"Veselým hlasom spievajme"
94,0,"Vstávajte, pastieri"
95,0,"Vstávajte, pastieri, berte sa"
96,0,"Vítame ťa, sväté Dieťa"
97,0,"Z Panny Pán Ježiš je narodený"
98,0,"Zvestujem vám radosť"
99,0,"Zaspievajme si veselo"
100,0,"Narodený Jezu Kriste"
101,0,"Narodil sa nám"
102,0,"Ďakujeme, Ochranca náš"
103,0,"Mocný je Boh náš"
104,0,"Pán časov"
105,0,"Ó, Ježišu, buď k pomoci"
106,0,"Nový rok beží"
107,0,"Veseľ sa, ľudské stvorenie"
108,0,"Z neba prišiel k nám"
109,0,"Hľa, aká to hviezda krásna"
110,0,"Herodes, kráľu ukrutný"
111,0,"Traja králi uzreli"
112,0,"Traja slávni králi"
113,0,"Tri zázraky sa dnes stali"
114,0,"Ježiš sladký, dušiam"
115,0,"Ježišu, Ježišu"
116,0,"Ježišu, vznešená"
117,0,"Kde je Ježiš"
118,0,"Kdes’, moje spasenie"
119,0,"Kde si, môj premilý"
120,0,"Ó, Ježišu, môj priateľu"
121,0,"Čo trpieť má Spasiteľ náš"
122,0,"Pán Boh, ktorý všetko stvoril"
123,0,"Svätý pôst sa započína"
124,0,"Ach, beda mne nešťastnému"
125,0,"Pristúp, pristúp sem, hriešniku"
126,0,"Ach, čo som to len urobil"
127,0,"Ach, ja Matka zarmútená"
128,0,"Ach, jak všetko stvorenie"
129,0,"Ach, kríž svätý"
130,0,"Ach, mňa Matku v tejto chvíli"
131,0,"Ach, poďte kresťania"
132,0,"Ach, prečo si, zlosť"
133,0,"Jezu Kriste, Pane milý"
134,0,"Ach, som zarmútený"
135,0,"Často drahé rany sväté"
136,0,"Čuj hlas môj, hriešniku"
137,0,"Čuj svet, nebo, celá zem"
138,0,"Hľa, v žiali srdca"
139,0,"Iní Krista opustili"
140,0,"Ježišu, buď uctený"
141,0,"Každá rana Krista Pána"
142,0,"Keď Ježiša nevinného"
143,0,"Kristus, príklad pokory"
144,0,"Ktorýs’ za nás trpel"
145,0,"Mária, Matka bolestná"
146,0,"Ku krížu svätému"
147,0,"Mária pod krížom"
148,0,"Kresťania, nariekajte"
149,0,"Nevinnosť premilá"
150,0,"Matka plače, ruky spína"
151,0,"Mizerere, mizerere"
152,0,"Môj milý Ježišu"
153,0,"Múdrosť Otca večného"
154,0,"Narieka žalostne"
155,0,"Ó, Ježišu môj zranený"
156,0,"Ó, hriešnici prešťastliví"
157,0,"Ó, môj Bože láskavý"
158,0,"Omša svätá, obeť zmierna"
159,0,"Ó, preveľká milosť"
160,0,"Poďakujme Kristu Pánu"
161,0,"Ó, zármutku, srdca smútku"
162,0,"Poďteže, hriešnici"
163,0,"Plačte, ó, anjeli"
164,0,"Pôjdem, pôjdem, hľadať budem"
165,0,"Pováž, ó, človeče"
